PlayerID,Status,TeamID,Team,Jersey,PositionCategory,Position,FirstName,LastName,Height,Weight,BirthDate,College,PhotoUrl,Experience,InjuryStatus,FanDuelPlayerID,DraftKingsPlayerID,FanDuelName,DraftKingsName
20000441,Active,29,PHO,3,G,SG,Bradley,Beal,76,207,6/28/1993 12:00:00 AM,Florida,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/bradley-beal-20000441-03282f33.png,11,,15595,606912,Bradley Beal,Bradley Beal
20000442,Inactive,,,,G,PG,John,Wall,75,210,9/6/1990 12:00:00 AM,Kentucky,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/john-wall-20000442-8a2d1297.png,10,,12332,509456,John Wall,John Wall
20000443,Inactive,,,,F,SF,Otto,Porter Jr.,80,230,6/3/1993 12:00:00 AM,Georgetown,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/otto-porter-20000443-5f467cbe.png,10,,15628,609256,Otto Porter,Otto Porter Jr.
20000452,Active,10,TOR,14,G,SG,Garrett,Temple,77,195,5/8/1986 12:00:00 AM,Louisiana State,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/garrett-temple-20000452-8f9aa104.png,13,,11074,263903,Garrett Temple,Garrett Temple
20000453,Inactive,,,,G,SG,Terrence,Ross,79,206,2/5/1991 12:00:00 AM,Washington,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/terrence-ross-20000453-221c0d37.png,10,,16405,550049,Terrence Ross,Terrence Ross
20000455,Active,23,NO,17,C,C,Jonas,Valanciunas,83,265,5/6/1992 12:00:00 AM,None,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/jonas-valanciunas-20000455-f480eb53.png,11,,14503,599780,Jonas Valanciunas,Jonas Valanciunas
20000456,Active,11,CHI,11,F,SF,DeMar,DeRozan,78,220,8/7/1989 12:00:00 AM,Southern California,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/demar-derozan-20000456-80d24f24.png,14,,9714,457594,DeMar DeRozan,DeMar DeRozan
20000457,Active,7,PHI,7,G,PG,Kyle,Lowry,72,196,3/25/1986 12:00:00 AM,Villanova,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/kyle-lowry-20000457-42bcdf23.png,18,,9535,266394,Kyle Lowry,Kyle Lowry
20000459,Inactive,,,,G,SG,Lou,Williams,74,175,10/27/1986 12:00:00 AM,None,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/lou-williams-20000459-967cab88.png,15,,9662,292401,Lou Williams,Lou Williams
20000460,Inactive,,,,F,PF,Patrick,Patterson,80,235,3/14/1989 12:00:00 AM,Kentucky,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/patrick-patterson-20000460-a516106a.png,10,,12340,399599,Patrick Patterson,Patrick Patterson
20000464,Active,13,IND,16,F,PF,James,Johnson,79,240,2/20/1987 12:00:00 AM,Wake Forest,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/james-johnson-20000464-938e6cde.png,13,,9966,398037,James Johnson,James Johnson
20000466,Inactive,,,,F,SF,Bruno,Caboclo,81,218,9/21/1995 12:00:00 AM,None,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/bruno-caboclo-20000466-6824a28d.png,0,,55058,830646,Bruno Caboclo,Bruno Caboclo
20000468,Active,27,LAL,3,C,C,Anthony,Davis,82,253,3/11/1993 12:00:00 AM,Kentucky,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/anthony-davis-20000468-589e5a4d.png,10,,15755,603096,Anthony Davis,Anthony Davis
20000471,Active,29,PHO,23,F,SF,Eric,Gordon,75,215,12/25/1988 12:00:00 AM,Indiana,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/eric-gordon-20000471-0ddb7b1b.png,15,Questionable,9556,401085,Eric Gordon,Eric Gordon
20000474,Active,9,BOS,4,G,PG,Jrue,Holiday,76,205,6/12/1990 12:00:00 AM,UCLA,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/jrue-holiday-20000474-64423301.png,14,Questionable,9663,457576,Jrue Holiday,Jrue Holiday
20000482,Active,26,GS,23,F,PF,Draymond,Green,78,230,3/4/1990 12:00:00 AM,Michigan State,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/draymond-green-20000482-5b5cbd83.png,11,,15860,468895,Draymond Green,Draymond Green
20000483,Active,30,SAC,40,F,SF,Harrison,Barnes,80,225,5/30/1992 12:00:00 AM,North Carolina,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/harrison-barnes-20000483-4d8cadb5.png,11,,15946,552336,Harrison Barnes,Harrison Barnes
20000485,Active,26,GS,30,G,PG,Stephen,Curry,74,185,3/14/1988 12:00:00 AM,Davidson,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/stephen-curry-20000485-8d6eda00.png,13,Doubtful,9524,338365,Stephen Curry,Stephen Curry
20000486,Active,26,GS,11,G,SG,Klay,Thompson,78,220,2/8/1990 12:00:00 AM,Washington State,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/klay-thompson-20000486-1570fc7d.png,10,,14509,457611,Klay Thompson,Klay Thompson
20000487,Inactive,,,,F,SF,Andre,Iguodala,78,215,1/28/1984 12:00:00 AM,Arizona,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/andre-iguodala-20000487-d5562199.png,18,,9664,173004,Andre Iguodala,Andre Iguodala
20000492,Active,20,DEN,9,F,SF,Justin,Holiday,78,180,4/5/1989 12:00:00 AM,Washington,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/justin-holiday-20000492-a1d5fee7.png,10,,16604,395365,Justin Holiday,Justin Holiday
20000497,Active,15,MIL,34,F,PF,Giannis,Antetokounmpo,83,243,12/6/1994 12:00:00 AM,None,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/giannis-antetokounmpo-20000497-15b8702f.png,10,Probable,40199,739957,Giannis Antetokounmpo,Giannis Antetokounmpo
20000498,Inactive,,,,F,PF,Ersan,Ilyasova,81,235,5/15/1987 12:00:00 AM,None,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/ersan-ilyasova-20000498-92af55be.png,12,,9598,292396,Ersan Ilyasova,Ersan Ilyasova
20000500,Active,15,MIL,22,F,SF,Khris,Middleton,79,222,8/12/1991 12:00:00 AM,Texas A&M,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/khris-middleton-20000500-1e42e66e.png,11,Questionable,16261,512053,Khris Middleton,Khris Middleton
20000501,Inactive,,,,G,PG,Michael,Carter-Williams,77,190,10/10/1991 12:00:00 AM,Syracuse,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/michael-carter-williams-20000501-30df33b8.png,7,,16201,609790,Michael Carter-Williams,Michael Carter-Williams
20000502,Inactive,,,,F,PF,John,Henson,81,219,12/28/1990 12:00:00 AM,North Carolina,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/john-henson-20000502-c1f6b36e.png,8,,15952,502871,John Henson,John Henson
20000505,Inactive,,,,F,SF,Jared,Dudley,78,237,7/10/1985 12:00:00 AM,Boston College,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/jared-dudley-20000505-14be993d.png,13,,9677,241712,Jared Dudley,Jared Dudley
20000508,Inactive,,,,F,PF,Johnny,O'Bryant III,81,257,6/1/1993 12:00:00 AM,LSU,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/johnny-obryant-iii-20000508-8901cc32.png,2,,15792,603100,Johnny O'Bryant,Johnny O'Bryant III
20000511,Inactive,,,,F,PF,Jabari,Parker,79,245,3/15/1995 12:00:00 AM,Duke,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/jabari-parker-20000511-40b65f99.png,7,,42550,756880,Jabari Parker,Jabari Parker
20000515,Active,4,MIA,22,F,SF,Jimmy,Butler,79,230,9/14/1989 12:00:00 AM,Marquette,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/jimmy-butler-20000515-f1f63cfe.png,12,,14528,458730,Jimmy Butler,Jimmy Butler
20000516,Active,21,MEM,23,G,PG,Derrick,Rose,75,200,10/4/1988 12:00:00 AM,Memphis,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/derrick-rose-20000516-0e2d3be9.png,14,Out,9475,399612,Derrick Rose,Derrick Rose
20000517,Active,14,DET,67,F,PF,Taj,Gibson,81,232,6/24/1985 12:00:00 AM,Southern California,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/taj-gibson-20000517-1505e89a.png,12,,9481,330057,Taj Gibson,Taj Gibson
20000519,Inactive,,,,G,SG,Tony,Snell,78,213,11/10/1991 12:00:00 AM,New Mexico,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/tony-snell-20000519-394b6b53.png,8,,17517,550991,Tony Snell,Tony Snell
20000522,Active,13,IND,20,F,SF,Doug,McDermott,78,225,1/3/1992 12:00:00 AM,Creighton,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/doug-mcdermott-20000522-e20c1e70.png,9,Out,18256,554804,Doug McDermott,Doug McDermott
20000524,Inactive,,,,G,SG,E'Twaun,Moore,75,191,2/25/1989 12:00:00 AM,Purdue,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/etwaun-moore-20000524-fc8865ea.png,9,,14554,398424,E'Twaun Moore,E'Twaun Moore
20000528,Inactive,,,,C,C,Tyson,Chandler,84,235,10/2/1982 12:00:00 AM,None,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/tyson-chandler-20000528-30fa756c.png,19,,9473,3493,Tyson Chandler,Tyson Chandler
20000530,Inactive,,,,G,PG,Rajon,Rondo,73,180,2/22/1986 12:00:00 AM,Kentucky,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/rajon-rondo-20000530-5e24107a.png,15,,9455,262882,Rajon Rondo,Rajon Rondo
20000532,Inactive,,,,F,PF,Al-Farouq,Aminu,80,220,9/21/1990 12:00:00 AM,Wake Forest,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/al-farouq-aminu-20000532-048c331d.png,10,,12342,457688,Al-Farouq Aminu,Al-Farouq Aminu
20000539,Active,25,DAL,7,C,C,Dwight,Powell,82,240,7/20/1991 12:00:00 AM,Stanford,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/dwight-powell-20000539-3bf7c11d.png,9,,16196,552309,Dwight Powell,Dwight Powell
20000541,Inactive,,,,F,SF,Trevor,Ariza,80,215,6/30/1985 12:00:00 AM,UCLA,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/trevor-ariza-20000541-e4713314.png,17,,9538,229738,Trevor Ariza,Trevor Ariza
20000543,Inactive,,,,C,C,Dwight,Howard,82,265,12/8/1985 12:00:00 AM,None,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/dwight-howard-20000543-c835ec45.png,17,,9660,253975,Dwight Howard,Dwight Howard
20000544,Active,28,LAC,1,G,SG,James,Harden,77,220,8/26/1989 12:00:00 AM,Arizona State,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/james-harden-20000544-63135481.png,14,,9644,395388,James Harden,James Harden
20000547,Inactive,,,,F,SF,Corey,Brewer,81,186,3/5/1986 12:00:00 AM,Florida,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/corey-brewer-20000547-cf303b6d.png,13,,9606,263217,Corey Brewer,Corey Brewer
20000549,Active,3,ATL,15,C,C,Clint,Capela,82,256,5/18/1994 12:00:00 AM,None,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/clint-capela-20000549-8f549214.png,9,,55059,830647,Clint Capela,Clint Capela
20000554,Active,15,MIL,21,G,PG,Patrick,Beverley,74,180,7/12/1988 12:00:00 AM,Arkansas,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/patrick-beverley-20000554-d3d5ef4e.png,11,,12474,332691,Patrick Beverley,Patrick Beverley
20000558,Inactive,,,,C,C,Tyler,Zeller,84,255,1/17/1990 12:00:00 AM,North Carolina,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/tyler-zeller-20000558-11c66968.png,8,,15961,462461,Tyler Zeller,Tyler Zeller
20000559,Inactive,,,,G,SG,Avery,Bradley,75,180,11/26/1990 12:00:00 AM,Texas,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/avery-bradley-20000559-7ba30e39.png,12,,12334,513607,Avery Bradley,Avery Bradley
20000560,Active,21,MEM,36,G,PG,Marcus,Smart,75,220,3/6/1994 12:00:00 AM,Oklahoma State,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/marcus-smart-20000560-b659c671.png,9,Out,23670,697132,Marcus Smart,Marcus Smart
20000561,Inactive,,,,G,PG,Isaiah,Thomas,69,185,2/7/1989 12:00:00 AM,Washington,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/isaiah-thomas-20000561-77f2e4f4.png,8,,14559,457605,Isaiah Thomas,Isaiah Thomas
20000562,Active,15,MIL,99,F,PF,Jae,Crowder,78,235,7/6/1990 12:00:00 AM,Marquette,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/jae-crowder-20000562-1ac64b1e.png,11,,15800,552381,Jae Crowder,Jae Crowder
20000564,Active,10,TOR,41,F,PF,Kelly,Olynyk,83,240,4/19/1991 12:00:00 AM,Gonzaga,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/kelly-olynyk-20000564-dd89716c.png,10,,22541,514882,Kelly Olynyk,Kelly Olynyk
20000571,Active,27,LAL,23,F,SF,LeBron,James,81,250,12/30/1984 12:00:00 AM,None,https://res.cloudinary.com/dan8wilpz/image/upload/c_fill;h_100;w_100/headshots/nba/lebron-james-20000571-1a4668f2.png,20,,9488,214152,LeBron James,LeBron James
