StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
807004,14,20000661,2,2021,Blake Griffin,DET,PF,4,4,82.40,95,11,13.00,34.00,38.2,8.00,13.00,61.5,5.00,21.00,23.8,1.00,3.00,33.3,2.00,20.00,22.00,14.00,2.00,0.00,1.00,7.00,32.00,84.40,86.50,0.00,0.00,0.00
807005,5,20000678,2,2021,Nikola Vucevic,ORL,C,4,4,155.00,116,49,33.00,62.00,53.2,24.00,36.00,66.7,9.00,26.00,34.6,2.00,5.00,40.0,7.00,43.00,50.00,10.00,2.00,2.00,5.00,9.00,77.00,159.00,170.50,23.00,4.00,0.00
807006,19,20000827,2,2021,Jusuf Nurkic,POR,C,3,3,49.60,54,1,6.00,18.00,33.3,6.00,13.00,46.2,0.00,5.00,0,3.00,5.00,60.0,5.00,13.00,18.00,8.00,3.00,2.00,9.00,9.00,15.00,54.60,55.00,-26.00,0.00,0.00
807007,11,20001831,2,2021,Lauri Markkanen,CHI,PF,4,4,90.70,105,57,19.00,50.00,38.0,10.00,21.00,47.6,9.00,29.00,31.0,2.00,6.00,33.3,7.00,19.00,26.00,5.00,3.00,3.00,9.00,4.00,49.00,96.70,101.00,-35.00,0.00,0.00
807008,5,20001861,2,2021,Dwayne Bacon,ORL,SF,4,4,70.90,99,52,15.00,31.00,48.4,13.00,24.00,54.2,2.00,7.00,28.6,7.00,7.00,100,1.00,11.00,12.00,7.00,4.00,1.00,3.00,6.00,39.00,75.90,74.00,3.00,0.00,0.00
807009,30,20002031,2,2021,Chimezie Metu,SAC,PF,0,4,41.80,29,25,9.00,16.00,56.2,8.00,13.00,61.5,1.00,3.00,33.3,5.00,8.00,62.5,1.00,8.00,9.00,2.00,0.00,3.00,2.00,6.00,24.00,44.80,43.75,7.00,0.00,0.00
807010,28,20002312,2,2021,Terance Mann,LAC,PG,0,3,58.30,65,18,8.00,22.00,36.4,7.00,15.00,46.7,1.00,7.00,14.3,5.00,8.00,62.5,1.00,13.00,14.00,9.00,2.00,2.00,2.00,6.00,22.00,62.30,60.50,-47.00,0.00,0.00
807011,11,20002329,2,2021,Daniel Gafford,CHI,PF,0,4,45.50,47,19,8.00,16.00,50.0,8.00,16.00,50.0,0.00,0.00,0,4.00,7.00,57.1,5.00,10.00,15.00,3.00,1.00,4.00,7.00,7.00,20.00,50.50,49.75,10.00,0.00,0.00
807012,6,20002533,2,2021,Obi Toppin,NY,PF,0,4,66.80,101,32,11.00,29.00,37.9,10.00,18.00,55.6,1.00,11.00,9.1,6.00,9.00,66.7,3.00,21.00,24.00,6.00,2.00,1.00,6.00,9.00,29.00,69.80,71.50,7.00,0.00,0.00
807013,28,20002580,2,2021,Jay Scrubb,LAC,SG,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
807014,27,20000606,2,2021,Dennis Schroder,LAL,PG,2,2,29.60,48,5,7.00,17.00,41.2,5.00,15.00,33.3,2.00,2.00,100,1.00,4.00,25.0,1.00,7.00,8.00,4.00,2.00,0.00,7.00,1.00,17.00,31.60,34.50,-8.00,0.00,0.00
807015,30,20000806,2,2021,Glenn Robinson III,SAC,SG,0,4,66.30,65,37,9.00,23.00,39.1,5.00,10.00,50.0,4.00,13.00,30.8,12.00,13.00,92.3,3.00,11.00,14.00,5.00,4.00,0.00,0.00,1.00,34.00,70.30,69.00,31.00,0.00,0.00
807016,27,20001801,2,2021,Alex Caruso,LAL,SG,0,2,17.30,27,6,2.00,5.00,40.0,0.00,2.00,0,2.00,3.00,66.7,0.00,0.00,0,0.00,4.00,4.00,3.00,2.00,0.00,2.00,1.00,6.00,19.30,19.50,7.00,0.00,0.00
807017,28,20001840,2,2021,Luke Kennard,LAC,SG,0,3,39.30,57,17,8.00,19.00,42.1,4.00,11.00,36.4,4.00,8.00,50.0,2.00,2.00,100,1.00,8.00,9.00,5.00,0.00,1.00,3.00,7.00,22.00,40.30,43.25,-29.00,0.00,0.00
807018,27,20002303,2,2021,Talen Horton-Tucker,LAL,PG,2,4,141.20,126,35,29.00,53.00,54.7,22.00,40.00,55.0,7.00,13.00,53.8,17.00,19.00,89.5,2.00,24.00,26.00,12.00,9.00,1.00,10.00,10.00,82.00,151.20,152.50,58.00,1.00,0.00
807019,19,20002308,2,2021,Nassir Little,POR,SF,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
807020,22,20002610,2,2021,Trevelin Queen,HOU,SG,0,2,16.50,11,32,1.00,8.00,12.5,0.00,5.00,0,1.00,3.00,33.3,2.00,2.00,100,5.00,0.00,5.00,1.00,0.00,2.00,0.00,5.00,5.00,18.50,17.25,-7.00,0.00,0.00
807021,27,20000633,2,2021,Marc Gasol,LAL,C,3,3,41.50,64,47,4.00,12.00,33.3,3.00,8.00,37.5,1.00,4.00,25.0,2.00,2.00,100,3.00,12.00,15.00,11.00,0.00,1.00,6.00,9.00,11.00,42.50,45.75,-11.00,0.00,0.00
807022,19,20000784,2,2021,Carmelo Anthony,POR,PF,0,4,62.50,70,11,16.00,41.00,39.0,10.00,29.00,34.5,6.00,12.00,50.0,7.00,8.00,87.5,1.00,9.00,10.00,3.00,2.00,2.00,7.00,8.00,45.00,66.50,69.50,-23.00,0.00,0.00
807023,22,20001820,2,2021,David Nwaba,HOU,SG,0,4,60.30,65,20,11.00,26.00,42.3,11.00,19.00,57.9,0.00,7.00,0,3.00,3.00,100,4.00,5.00,9.00,1.00,8.00,4.00,1.00,11.00,25.00,72.30,61.25,3.00,0.00,0.00
807024,3,20002155,2,2021,Brandon Goodwin,ATL,PG,0,3,32.80,35,45,4.00,18.00,22.2,3.00,13.00,23.1,1.00,5.00,20.0,4.00,4.00,100,1.00,3.00,4.00,10.00,2.00,0.00,4.00,1.00,13.00,34.80,35.50,11.00,0.00,0.00
807025,3,20002306,2,2021,Bruno Fernando,ATL,C,0,4,54.20,53,21,7.00,14.00,50.0,7.00,14.00,50.0,0.00,0.00,0,5.00,6.00,83.3,3.00,18.00,21.00,2.00,1.00,3.00,1.00,9.00,19.00,58.20,55.75,4.00,0.00,0.00
807026,14,20002541,2,2021,Isaiah Stewart,DET,C,0,4,12.80,25,21,1.00,5.00,20.0,1.00,5.00,20.0,0.00,0.00,0,0.00,0.00,0,3.00,6.00,9.00,0.00,1.00,0.00,2.00,3.00,2.00,13.80,14.25,3.00,0.00,0.00
807027,22,20000442,2,2021,John Wall,HOU,PG,3,3,86.80,68,39,19.00,40.00,47.5,15.00,28.00,53.6,4.00,12.00,33.3,7.00,12.00,58.3,2.00,7.00,9.00,16.00,5.00,1.00,9.00,8.00,49.00,92.80,93.75,22.00,0.00,0.00
807028,22,20000544,2,2021,James Harden,HOU,SG,2,2,61.50,48,29,11.00,24.00,45.8,6.00,12.00,50.0,5.00,12.00,41.7,5.00,6.00,83.3,0.00,10.00,10.00,13.00,3.00,0.00,8.00,2.00,32.00,64.50,68.50,26.00,0.00,0.00
807029,14,20000727,2,2021,Jerami Grant,DET,SF,4,4,61.60,96,17,12.00,41.00,29.3,5.00,21.00,23.8,7.00,20.00,35.0,12.00,17.00,70.6,5.00,13.00,18.00,2.00,1.00,2.00,12.00,11.00,43.00,64.60,72.00,-17.00,0.00,0.00
807030,22,20001527,2,2021,Christian Wood,HOU,PF,1,1,46.00,23,56,10.00,18.00,55.6,8.00,12.00,66.7,2.00,6.00,33.3,5.00,5.00,100,0.00,10.00,10.00,2.00,1.00,1.00,0.00,1.00,27.00,48.00,49.00,22.00,1.00,0.00
807031,30,20001995,2,2021,Marvin Bagley,SAC,PF,2,2,20.40,33,18,7.00,11.00,63.6,7.00,10.00,70.0,0.00,1.00,0,1.00,4.00,25.0,3.00,4.00,7.00,0.00,0.00,0.00,3.00,2.00,15.00,20.40,22.25,-18.00,0.00,0.00
807032,11,20002280,2,2021,Coby White,CHI,PG,4,4,105.10,113,8,24.00,53.00,45.3,12.00,28.00,42.9,12.00,25.00,48.0,6.00,7.00,85.7,1.00,17.00,18.00,17.00,1.00,1.00,12.00,12.00,66.00,107.10,118.00,-13.00,0.00,0.00
807033,3,20002531,2,2021,Onyeka Okongwu,ATL,C,0,0,0.00,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
807034,30,20002565,2,2021,Robert Woodard II,SAC,SF,0,3,20.80,27,2,2.00,6.00,33.3,2.00,4.00,50.0,0.00,2.00,0,2.00,2.00,100,3.00,6.00,9.00,0.00,1.00,1.00,0.00,2.00,6.00,22.80,21.25,-9.00,0.00,0.00
807035,14,20002544,2,2021,Saddiq Bey,DET,SF,0,4,28.70,46,50,5.00,18.00,27.8,2.00,4.00,50.0,3.00,14.00,21.4,3.00,4.00,75.0,0.00,6.00,6.00,1.00,3.00,1.00,4.00,3.00,16.00,32.70,32.50,2.00,0.00,0.00
807036,28,20002612,2,2021,Jordan Ford,LAC,PG,0,2,15.40,13,54,4.00,9.00,44.4,4.00,7.00,57.1,0.00,2.00,0,0.00,0.00,0,0.00,2.00,2.00,4.00,0.00,0.00,1.00,0.00,8.00,15.40,16.00,6.00,0.00,0.00
807037,19,20000903,2,2021,Robert Covington,POR,SF,4,4,77.70,107,7,16.00,32.00,50.0,7.00,14.00,50.0,9.00,18.00,50.0,0.00,2.00,0,3.00,18.00,21.00,5.00,2.00,2.00,4.00,12.00,41.00,81.70,85.25,-5.00,0.00,0.00
807038,3,20001989,2,2021,Trae Young,ATL,PG,4,4,102.30,102,48,16.00,49.00,32.7,10.00,26.00,38.5,6.00,23.00,26.1,17.00,21.00,81.0,2.00,12.00,14.00,21.00,7.00,2.00,19.00,14.00,55.00,111.30,115.50,-43.00,0.00,0.00
807039,5,20002508,2,2021,Devin Cannady,ORL,PG,0,2,11.90,8,53,2.00,4.00,50.0,0.00,1.00,0,2.00,3.00,66.7,0.00,0.00,0,0.00,2.00,2.00,1.00,0.00,1.00,0.00,1.00,6.00,12.90,13.00,-1.00,0.00,0.00
