StatID,TeamID,SeasonType,Season,Name,Team,Wins,Losses,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,FantasyPointsFanDuel,FantasyPointsDraftKings,PlusMinus,DoubleDoubles,TripleDoubles
1108749,3,2,2024,Atlanta Hawks,ATL,3,2,5,1044.70,1200,0,196.00,430.00,45.6,134.00,242.00,55.4,62.00,188.00,33.0,85.00,112.00,75.9,51.00,175.00,226.00,129.00,56.00,16.00,103.00,93.00,539.00,1116.70,1141.50,-55.00,2.00,0.00
1115404,3,1,2024,Atlanta Hawks,ATL,29,35,64,14347.00,15459,47,2766.00,5955.00,46.4,1902.00,3554.00,53.5,864.00,2401.00,36.0,1260.00,1561.00,80.7,828.00,2057.00,2885.00,1670.00,474.00,291.00,806.00,1178.00,7656.00,15112.00,15485.25,-585.00,106.00,0.00
1108074,8,2,2024,Brooklyn Nets,BKN,1,2,3,653.80,720,0,117.00,253.00,46.2,70.00,145.00,48.3,47.00,108.00,43.5,71.00,88.00,80.7,26.00,108.00,134.00,76.00,23.00,20.00,59.00,55.00,352.00,696.80,715.00,-40.00,1.00,0.00
1115408,8,1,2024,Brooklyn Nets,BKN,26,39,65,14066.00,15662,34,2682.00,5849.00,45.9,1782.00,3408.00,52.3,900.00,2441.00,36.9,1011.00,1338.00,75.6,744.00,2106.00,2850.00,1726.00,448.00,333.00,780.00,1239.00,7275.00,14847.00,15122.00,-628.00,49.00,0.00
1115409,9,1,2024,Boston Celtics,BOS,50,14,64,14818.20,15484,43,2801.00,5773.00,48.5,1763.00,3075.00,57.3,1038.00,2698.00,38.5,1088.00,1346.00,80.8,682.00,2334.00,3016.00,1696.00,415.00,420.00,743.00,1074.00,7728.00,15653.20,15940.50,3550.00,52.00,1.00
1107551,9,2,2024,Boston Celtics,BOS,4,1,5,1130.40,1200,0,208.00,455.00,45.7,129.00,228.00,56.6,79.00,227.00,34.8,88.00,113.00,77.9,66.00,181.00,247.00,122.00,50.00,23.00,78.00,99.00,583.00,1203.40,1224.25,265.00,2.00,0.00
1115403,2,1,2024,Charlotte Hornets,CHA,16,49,65,13191.60,15649,48,2618.00,5725.00,45.7,1843.00,3549.00,51.9,775.00,2176.00,35.6,948.00,1210.00,78.3,641.00,2027.00,2668.00,1602.00,439.00,298.00,846.00,1214.00,6959.00,13928.60,14225.50,-3320.00,58.00,1.00
1108748,2,2,2024,Charlotte Hornets,CHA,1,3,4,853.00,960,0,154.00,363.00,42.4,122.00,229.00,53.3,32.00,134.00,23.9,77.00,105.00,73.3,48.00,162.00,210.00,90.00,37.00,25.00,75.00,76.00,417.00,915.00,918.50,-180.00,1.00,0.00
1107553,11,2,2024,Chicago Bulls,CHI,1,4,5,1063.60,1250,0,206.00,475.00,43.4,147.00,311.00,47.3,59.00,164.00,36.0,73.00,89.00,82.0,77.00,146.00,223.00,130.00,51.00,18.00,81.00,107.00,544.00,1132.60,1147.75,-105.00,2.00,0.00
1115411,11,1,2024,Chicago Bulls,CHI,31,34,65,13932.60,15849,43,2701.00,5823.00,46.4,1940.00,3690.00,52.6,761.00,2133.00,35.7,1087.00,1370.00,79.3,725.00,2108.00,2833.00,1606.00,497.00,319.00,758.00,1233.00,7250.00,14748.60,14926.75,-625.00,62.00,0.00
1115412,12,1,2024,Cleveland Cavaliers,CLE,41,24,65,14333.40,15724,38,2736.00,5715.00,47.9,1852.00,3293.00,56.2,884.00,2422.00,36.5,1036.00,1358.00,76.3,665.00,2217.00,2882.00,1800.00,486.00,316.00,821.00,1182.00,7392.00,15135.40,15433.50,1317.00,69.00,0.00
